STATION,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGSATRIDER,AVGSUNRIDER,AVGWKND,ANN_RID,Wkdy Rank,Wknd Rank,Annual Rank
Wall St ,Broadway/7 Av (CBD),Downtown,Manhattan,12395,5956,4832,10788,3729954,76.0,112.0,82.0
Rector St ,Broadway/7 Av (CBD),Downtown,Manhattan,4898,3770,2850,6620,1606245,209.0,181.0,202.0
WTC Cortlandt ,Broadway/7 Av (CBD),Downtown,Manhattan,10218,8069,5810,13879,3358064,98.0,82.0,95.0
Chambers St ,Broadway/7 Av (CBD),Downtown,Manhattan,12798,5651,4283,9934,3782605,70.0,130.0,77.0
Franklin St ,Broadway/7 Av (CBD),Valley,Manhattan,4337,2400,1822,4222,1329726,227.0,248.0,234.0
Canal St ,Broadway/7 Av (CBD),Valley,Manhattan,3595,2446,1906,4352,1148885,276.0,245.0,270.0
Houston St ,Broadway/7 Av (CBD),Valley,Manhattan,8908,5107,3926,9033,2749660,112.0,140.0,123.0
Christopher St-Sheridan Sq ,Broadway/7 Av (CBD),Valley,Manhattan,7965,8168,6497,14665,2817379,138.0,74.0,118.0
18 St ,Broadway/7 Av (CBD),Valley,Manhattan,5607,4212,3074,7286,1813302,180.0,170.0,177.0
23 St ,Broadway/7 Av (CBD),Valley,Manhattan,9477,7759,6055,13814,3154290,106.0,84.0,103.0
28 St ,Broadway/7 Av (CBD),Valley,Manhattan,9576,6268,4878,11146,3038057,104.0,104.0,105.0
34 St-Penn Station ,Broadway/7 Av (CBD),Midtown,Manhattan,47315,30824,27616,58440,15224047,8.0,9.0,8.0
50 St ,Broadway/7 Av (CBD),Midtown,Manhattan,18190,12933,10279,23212,5893837,38.0,31.0,35.0
66 St-Lincoln Center ,Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,14897,10423,7856,18279,4771815,58.0,49.0,57.0
72 St ,Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,27088,21854,18756,40610,9086110,22.0,17.0,22.0
79 St ,Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,10651,8160,6821,14981,3519664,93.0,72.0,90.0
86 St. ,Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,12406,8404,6876,15280,3983729,74.0,69.0,70.0
96 St ,Broadway/7 Av (Non-CBD),Upper Manhattan,Manhattan,24224,16964,14355,31319,7856393,23.0,24.0,24.0
103 St ,Upper Broadway,Upper Manhattan,Manhattan,8775,6689,5483,12172,2892314,114.0,95.0,113.0
Cathedral Pkwy-110 St ,Upper Broadway,Upper Manhattan,Manhattan,8721,6908,5643,12551,2898816,117.0,91.0,112.0
116 St-Columbia University ,Upper Broadway,Upper Manhattan,Manhattan,11001,6372,5139,11511,3416295,88.0,100.0,93.0
125 St ,Upper Broadway,Upper Manhattan,Manhattan,6175,4300,3381,7681,1986493,168.0,165.0,167.0
137 St-City College ,Upper Broadway,Upper Manhattan,Manhattan,8428,6111,4892,11003,2738004,126.0,107.0,124.0
145 St ,Upper Broadway,Upper Manhattan,Manhattan,6447,4648,3790,8438,2100654,162.0,149.0,159.0
157 St ,Upper Broadway,Upper Manhattan,Manhattan,7148,4686,3926,8612,2288380,144.0,147.0,145.0
181 St ,Upper Broadway,Upper Manhattan,Manhattan,7582,4858,4076,8934,2416958,141.0,143.0,141.0
191 St ,Upper Broadway,Upper Manhattan,Manhattan,5348,3190,2695,5885,1682168,188.0,197.0,191.0
Dyckman St ,Upper Broadway,Upper Manhattan,Manhattan,4704,3182,2600,5782,1512897,212.0,200.0,214.0
207 St ,Upper Broadway,Upper Manhattan,Manhattan,4255,2735,2221,4956,1352957,233.0,227.0,228.0
215 St ,Upper Broadway,Upper Manhattan,Manhattan,1485,870,659,1529,459810,396.0,375.0,393.0
Marble Hill-225 St ,Upper Broadway,Upper Manhattan,Manhattan,3429,1967,1607,3574,1067679,284.0,274.0,283.0
231 St ,Upper Broadway,Bronx,Bronx,6165,3326,2651,5977,1894047,169.0,193.0,172.0
238 St ,Upper Broadway,Bronx,Bronx,3104,1727,1414,3141,959752,298.0,295.0,298.0
Van Cortlandt Park-242 St ,Upper Broadway,Bronx,Bronx,4695,2257,1715,3972,1409910,213.0,261.0,223.0
Central Park North-110 St ,Lenox Av,Upper Manhattan,Manhattan,4915,3472,2925,6397,1598022,207.0,188.0,203.0
116 St ,Lenox Av,Upper Manhattan,Manhattan,6164,4401,3859,8260,2014762,170.0,153.0,166.0
125 St ,Lenox Av,Upper Manhattan,Manhattan,8198,5719,5131,10850,2672981,135.0,110.0,131.0
135 St ,Lenox Av,Upper Manhattan,Manhattan,6985,4333,3525,7858,2201400,149.0,158.0,149.0
145 St ,Lenox Av,Upper Manhattan,Manhattan,1890,979,766,1745,574727,369.0,357.0,369.0
Harlem-148 St ,Lenox Av,Upper Manhattan,Manhattan,2172,1307,1043,2350,679539,353.0,331.0,353.0
Bowling Green ,Lexington Av (CBD),Downtown,Manhattan,14906,7984,6353,14337,4575586,57.0,77.0,60.0
Wall St ,Lexington Av (CBD),Downtown,Manhattan,11163,5721,4531,10252,3393094,84.0,125.0,94.0
Spring St ,Lexington Av (CBD),Valley,Manhattan,8253,9241,6896,16137,2969643,133.0,65.0,108.0
Astor Place ,Lexington Av (CBD),Valley,Manhattan,11137,9357,7161,16518,3717074,85.0,62.0,84.0
23 St ,Lexington Av (CBD),Valley,Manhattan,17987,9096,6559,15655,5409296,39.0,67.0,47.0
28 St ,Lexington Av (CBD),Valley,Manhattan,13996,8531,6720,15251,4380514,63.0,70.0,62.0
33 St ,Lexington Av (CBD),Midtown,Manhattan,18307,10686,8041,18727,5666586,37.0,47.0,40.0
68 St-Hunter College ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,17986,6472,4640,11112,5164087,40.0,105.0,50.0
77 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,20406,11164,8208,19372,6231273,30.0,44.0,31.0
86 St. ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,32712,22996,17020,40016,10472358,16.0,19.0,18.0
96 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,12647,5699,4429,10128,3760351,72.0,126.0,80.0
103 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,8513,4560,3500,8060,2601308,122.0,156.0,136.0
110 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,6704,4117,3097,7214,2096322,158.0,174.0,161.0
116 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,8766,5491,4386,9877,2766817,115.0,131.0,121.0
125 St ,Lexington Av (Non-CBD),Upper Manhattan,Manhattan,15497,9453,7933,17386,4884086,55.0,57.0,55.0
138 St-Grand Concourse ,Jerome Av,Bronx,Bronx,2546,1458,1092,2550,785271,336.0,322.0,336.0
167 St ,Jerome Av,Bronx,Bronx,5807,4400,3419,7819,1901393,175.0,160.0,171.0
170 St ,Jerome Av,Bronx,Bronx,4495,3153,2452,5605,1448193,222.0,207.0,219.0
Mt Eden Av ,Jerome Av,Bronx,Bronx,3106,2086,1614,3700,990912,297.0,269.0,295.0
176 St ,Jerome Av,Bronx,Bronx,3230,2264,1775,4039,1041352,290.0,258.0,287.0
Burnside Av ,Jerome Av,Bronx,Bronx,5773,4376,3431,7807,1891402,176.0,161.0,173.0
183 St ,Jerome Av,Bronx,Bronx,3611,2780,2193,4973,1188844,275.0,226.0,263.0
Fordham Rd ,Jerome Av,Bronx,Bronx,6716,5933,4439,10372,2269772,157.0,123.0,146.0
Kingsbridge Rd ,Jerome Av,Bronx,Bronx,6045,4350,3409,7759,1958074,171.0,163.0,169.0
Bedford Park Blvd-Lehman College ,Jerome Av,Bronx,Bronx,3634,2683,2135,4818,1182701,273.0,229.0,264.0
Mosholu Pkwy ,Jerome Av,Bronx,Bronx,5394,3707,2886,6593,1728114,186.0,183.0,182.0
Woodlawn ,Jerome Av,Bronx,Bronx,4228,2360,1776,4136,1299027,238.0,251.0,238.0
3 Av-149 St ,White Plains Rd,Bronx,Bronx,10994,5716,4243,9959,3333256,89.0,129.0,97.0
Jackson Av ,White Plains Rd,Bronx,Bronx,3066,1475,1070,2545,919324,303.0,324.0,308.0
Prospect Av ,White Plains Rd,Bronx,Bronx,4136,2053,1554,3607,1248614,243.0,273.0,247.0
Intervale Av ,White Plains Rd,Bronx,Bronx,1915,956,754,1710,580512,366.0,362.0,366.0
Simpson St ,White Plains Rd,Bronx,Bronx,4374,2416,1693,4109,1336897,226.0,254.0,232.0
Freeman St ,White Plains Rd,Bronx,Bronx,2690,1431,1097,2528,822237,327.0,325.0,327.0
174 St ,White Plains Rd,Bronx,Bronx,3664,1944,1481,3425,1118781,271.0,278.0,276.0
West Farms Sq-East Tremont Av ,White Plains Rd,Bronx,Bronx,3202,1884,1473,3357,997755,292.0,285.0,293.0
East 180 St ,White Plains Rd,Bronx,Bronx,5459,3153,2421,5574,1690373,184.0,209.0,186.0
Bronx Park East ,White Plains Rd,Bronx,Bronx,1516,731,568,1299,456352,393.0,385.0,395.0
Pelham Pkwy ,White Plains Rd,Bronx,Bronx,5519,2930,2275,5205,1686103,182.0,221.0,188.0
Allerton Av ,White Plains Rd,Bronx,Bronx,2836,1580,1226,2806,874229,315.0,309.0,314.0
Burke Av ,White Plains Rd,Bronx,Bronx,1755,887,700,1587,532937,377.0,369.0,378.0
Gun Hill Rd ,White Plains Rd,Bronx,Bronx,3897,2298,1817,4115,1214663,255.0,253.0,251.0
219 St ,White Plains Rd,Bronx,Bronx,1584,900,703,1603,490047,391.0,368.0,386.0
225 St ,White Plains Rd,Bronx,Bronx,1917,1057,815,1872,589541,365.0,350.0,363.0
233 St ,White Plains Rd,Bronx,Bronx,2754,1505,1149,2654,845056,322.0,318.0,321.0
Nereid Av ,White Plains Rd,Bronx,Bronx,1948,941,693,1634,583996,360.0,365.0,365.0
Wakefield-241 St ,White Plains Rd,Bronx,Bronx,2544,1539,1167,2706,794723,337.0,314.0,335.0
Morris Park ,Dyre Av,Bronx,Bronx,1820,660,437,1097,521846,375.0,393.0,380.0
Pelham Pkwy ,Dyre Av,Bronx,Bronx,2014,591,386,977,564687,359.0,403.0,370.0
Gun Hill Rd ,Dyre Av,Bronx,Bronx,3189,1230,864,2094,925025,294.0,338.0,306.0
Baychester Av ,Dyre Av,Bronx,Bronx,1875,692,479,1171,540493,371.0,389.0,375.0
Eastchester-Dyre Av ,Dyre Av,Bronx,Bronx,2576,806,537,1343,727475,334.0,384.0,347.0
3 Av-138 St ,Pelham,Bronx,Bronx,5708,3035,2477,5512,1750592,177.0,213.0,181.0
Brook Av ,Pelham,Bronx,Bronx,3540,2075,1664,3739,1104521,279.0,266.0,278.0
Cypress Av ,Pelham,Bronx,Bronx,1643,886,647,1533,501060,386.0,374.0,383.0
East 143 St-St Mary's St ,Pelham,Bronx,Bronx,890,335,184,519,254155,414.0,415.0,414.0
East 149 St ,Pelham,Bronx,Bronx,3100,1808,1455,3263,966053,299.0,289.0,297.0
Longwood Av ,Pelham,Bronx,Bronx,2258,1166,901,2067,686670,351.0,341.0,351.0
Hunts Point Av ,Pelham,Bronx,Bronx,6976,3826,2927,6753,2140557,150.0,178.0,156.0
Whitlock Av ,Pelham,Bronx,Bronx,1250,704,544,1248,385838,404.0,388.0,403.0
Elder Av ,Pelham,Bronx,Bronx,3846,2412,1907,4319,1214084,260.0,246.0,254.0
Morrison Av-Soundview ,Pelham,Bronx,Bronx,3930,2259,1815,4074,1221900,253.0,256.0,250.0
St. Lawrence Ave. ,Pelham,Bronx,Bronx,2590,1589,1302,2891,816020,332.0,304.0,330.0
Parkchester ,Pelham,Bronx,Bronx,10497,6494,5077,11571,3295956,96.0,99.0,99.0
Castle Hill Av ,Pelham,Bronx,Bronx,3619,1348,1019,2367,1051526,274.0,330.0,285.0
Zerega Av ,Pelham,Bronx,Bronx,1760,594,450,1044,504725,376.0,401.0,382.0
Westchester Sq-East Tremont Av ,Pelham,Bronx,Bronx,2685,951,703,1654,773043,328.0,364.0,338.0
Middletown Rd ,Pelham,Bronx,Bronx,1416,454,326,780,401976,398.0,409.0,401.0
Buhre Av ,Pelham,Bronx,Bronx,2616,997,729,1726,758972,329.0,360.0,340.0
Pelham Bay Park ,Pelham,Bronx,Bronx,3863,2008,1634,3642,1180813,257.0,271.0,265.0
34 St-Hudson Yards ,Flushing (Manhattan),Midtown,Manhattan,17443,10504,8562,19066,5494067,44.0,45.0,44.0
Rector St ,Broadway-60 St,Downtown,Manhattan,3719,1842,1512,3354,1127341,267.0,286.0,273.0
City Hall ,Broadway-60 St,Downtown,Manhattan,3842,1654,1333,2987,1138401,261.0,300.0,272.0
Prince St ,Broadway-60 St,Valley,Manhattan,8363,10485,7997,18482,3128710,128.0,48.0,104.0
8 St-New York University ,Broadway-60 St,Valley,Manhattan,11078,10025,7878,17903,3780675,87.0,51.0,78.0
23 St ,Broadway-60 St,Valley,Manhattan,12955,10062,7813,17875,4260867,69.0,52.0,65.0
28 St ,Broadway-60 St,Valley,Manhattan,8039,6972,5431,12403,2717163,136.0,92.0,127.0
49 St ,Broadway-60 St,Midtown,Manhattan,16368,14436,11290,25726,5566042,51.0,28.0,41.0
57 St-7 Av ,Broadway-60 St,Midtown,Manhattan,23422,18589,15023,33612,7787658,26.0,23.0,25.0
5 Av-59 St ,Broadway-60 St,Midtown,Manhattan,10589,7662,6582,14244,3485505,94.0,80.0,91.0
72 St ,2 Av,Midtown,Manhattan,21191,11698,8643,20341,6478996,27.0,42.0,29.0
86 St ,2 Av,Midtown,Manhattan,16639,13067,9467,22534,5443029,48.0,34.0,45.0
96 St ,2 Av,Midtown,Manhattan,12093,7885,6141,14026,3832205,77.0,81.0,76.0
Broad St ,Nassau St,Downtown,Manhattan,3982,2134,1571,3705,1214353,250.0,268.0,253.0
Bowery ,Nassau St,Valley,Manhattan,2441,2712,2176,4888,887619,344.0,228.0,311.0
3 Av ,14 St,Valley,Manhattan,4544,4279,3260,7539,1564084,219.0,167.0,209.0
1 Av ,14 St,Valley,Manhattan,17338,13992,10601,24593,5745700,45.0,29.0,38.0
Grand St ,6 Av,Valley,Manhattan,17686,13131,11065,24196,5821650,43.0,30.0,37.0
East Broadway ,6 Av,Valley,Manhattan,11083,9129,7646,16775,3729749,86.0,60.0,83.0
2 Av ,6 Av,Valley,Manhattan,11660,12750,10094,22844,4192759,82.0,33.0,69.0
23 St ,6 Av,Valley,Manhattan,17867,9422,6964,16386,5423352,41.0,64.0,46.0
47-50 Sts-Rockefeller Center ,6 Av,Midtown,Manhattan,38077,17706,13201,30907,11387612,12.0,25.0,13.0
Canal St ,8 Av,Valley,Manhattan,12596,7724,6116,13840,3950546,73.0,83.0,71.0
Spring St ,8 Av,Valley,Manhattan,9575,5279,4155,9434,2941927,105.0,135.0,109.0
23 St ,8 Av,Valley,Manhattan,14132,8302,6199,14501,4370344,62.0,75.0,63.0
34 St-Penn Station ,8 Av,Midtown,Manhattan,52563,34790,31206,65996,16974543,6.0,5.0,6.0
50 St ,8 Av,Midtown,Manhattan,14477,11911,9814,21725,4857531,60.0,38.0,56.0
7 Av ,53 St,Midtown,Manhattan,12405,7489,6053,13542,3892682,75.0,87.0,75.0
5 Av-53 St ,53 St,Midtown,Manhattan,16224,6361,4848,11209,4733296,53.0,102.0,58.0
57 St ,63 St,Midtown,Manhattan,8302,4853,3919,8772,2582091,131.0,145.0,137.0
Roosevelt Island ,63 St,Upper Manhattan,Manhattan,5078,3915,3358,7273,1686544,197.0,172.0,187.0
72 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,6968,5510,4932,10442,2343378,151.0,120.0,143.0
81 St-Museum of Natural History ,8 Av/Central Pk W,Upper Manhattan,Manhattan,10165,9203,8219,17422,3531009,99.0,56.0,89.0
86 St. ,8 Av/Central Pk W,Upper Manhattan,Manhattan,7976,4620,3853,8473,2486809,137.0,148.0,139.0
96 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,6986,3475,3136,6611,2133657,148.0,182.0,158.0
103 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,3204,2168,1843,4011,1033211,291.0,259.0,289.0
Cathedral Pkwy-110 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,5217,3608,2984,6592,1684290,192.0,184.0,189.0
116 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,4555,2977,2605,5582,1459488,218.0,208.0,217.0
125 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,17239,11650,9759,21409,5543346,46.0,39.0,42.0
135 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,3563,1829,1458,3287,1083148,278.0,288.0,279.0
145 St ,8 Av/Central Pk W,Upper Manhattan,Manhattan,14613,9924,7865,17789,4678774,59.0,53.0,59.0
155 St ,Washington Heights,Upper Manhattan,Manhattan,1644,1226,1016,2242,539511,385.0,333.0,376.0
163 St-Amsterdam Av ,Washington Heights,Upper Manhattan,Manhattan,2583,1849,1527,3376,840255,333.0,283.0,322.0
175 St ,Washington Heights,Upper Manhattan,Manhattan,7326,4085,3209,7294,2258838,143.0,169.0,147.0
181 St ,Washington Heights,Upper Manhattan,Manhattan,5646,3250,2594,5844,1751997,179.0,199.0,180.0
190 St ,Washington Heights,Upper Manhattan,Manhattan,3081,1738,1391,3129,951786,302.0,296.0,301.0
Dyckman St ,Washington Heights,Upper Manhattan,Manhattan,4145,2665,2020,4685,1306098,240.0,234.0,236.0
Inwood-207 St ,Washington Heights,Upper Manhattan,Manhattan,5181,3387,2495,5882,1632951,194.0,198.0,198.0
155 St ,Concourse,Upper Manhattan,Manhattan,1920,999,772,1771,585619,363.0,355.0,364.0
167 St ,Concourse,Bronx,Bronx,4926,1565,1268,2833,1411144,206.0,306.0,222.0
170 St ,Concourse,Bronx,Bronx,3529,1030,813,1843,1001022,280.0,354.0,292.0
174-175 Sts ,Concourse,Bronx,Bronx,2746,754,598,1352,774167,324.0,383.0,337.0
Tremont Av ,Concourse,Bronx,Bronx,4238,1132,896,2028,1192367,236.0,342.0,261.0
182-183 Sts ,Concourse,Bronx,Bronx,2893,888,697,1585,824845,313.0,370.0,326.0
Fordham Rd ,Concourse,Bronx,Bronx,6533,1844,1401,3245,1842281,160.0,293.0,175.0
Kingsbridge Rd ,Concourse,Bronx,Bronx,4060,1076,863,1939,1140981,246.0,347.0,271.0
Bedford Park Blvd ,Concourse,Bronx,Bronx,4139,1151,917,2068,1166942,242.0,340.0,269.0
Norwood-205 St ,Concourse,Bronx,Bronx,4255,1130,895,2025,1196666,233.0,343.0,258.0
South Ferry ,Manhattan CBD Transfer,Downtown,Manhattan,18765,12163,10068,22231,5995305,36.0,35.0,33.0
Fulton St ,Manhattan CBD Transfer,Downtown,Manhattan,57533,33827,26140,59967,17887203,5.0,7.0,5.0
Chambers St ,Manhattan CBD Transfer,Downtown,Manhattan,40703,20121,15823,35944,12298422,11.0,21.0,11.0
Brooklyn Bridge-City Hall ,Manhattan CBD Transfer,Downtown,Manhattan,19361,9801,7767,17568,5881022,34.0,55.0,36.0
Canal St ,Manhattan CBD Transfer,Valley,Manhattan,30763,27552,21991,49543,10521747,18.0,11.0,17.0
Delancey St ,Manhattan CBD Transfer,Valley,Manhattan,20608,19136,15124,34260,7083681,29.0,22.0,27.0
Broadway-Lafayette St ,Manhattan CBD Transfer,Valley,Manhattan,27303,24540,18810,43350,9268403,21.0,16.0,21.0
West 4 St-Washington Sq ,Manhattan CBD Transfer,Valley,Manhattan,29048,26935,21812,48747,10011362,20.0,12.0,19.0
14 St ,Manhattan CBD Transfer,Valley,Manhattan,32462,26755,21429,48184,10863467,17.0,13.0,16.0
14 St ,Manhattan CBD Transfer,Valley,Manhattan,34811,25789,20149,45938,11328347,15.0,14.0,15.0
14 St-Union Sq ,Manhattan CBD Transfer,Valley,Manhattan,65104,52833,39826,92659,21527757,4.0,4.0,4.0
34 St-Herald Sq ,Manhattan CBD Transfer,Midtown,Manhattan,72890,52032,42305,94337,23680977,3.0,3.0,3.0
Times Sq-42 St ,Manhattan CBD Transfer,Midtown,Manhattan,167487,118982,94726,213708,54266441,1.0,1.0,1.0
Grand Central-42 St ,Manhattan CBD Transfer,Midtown,Manhattan,99308,53390,43385,96775,30517475,2.0,2.0,2.0
Lexington Av-53 St ,Manhattan CBD Transfer,Midtown,Manhattan,38077,17568,13194,30762,11339465,12.0,26.0,14.0
59 St-Columbus Circle ,Manhattan CBD Transfer,Midtown,Manhattan,48661,34669,29149,63818,15842348,7.0,6.0,7.0
Lexington Av ,Manhattan CBD Transfer,Midtown,Manhattan,37615,22197,17161,39358,11691818,14.0,20.0,12.0
Lexington Av-63 St ,Manhattan CBD Transfer,Midtown,Manhattan,11945,7398,5662,13060,3736349,79.0,89.0,81.0
168 St ,Upper Manhattan/Bronx Transfer,Upper Manhattan,Manhattan,16523,9909,7844,17753,5161102,50.0,54.0,51.0
149 St-Grand Concourse ,Upper Manhattan/Bronx Transfer,Bronx,Bronx,6789,3690,2993,6683,2087779,154.0,180.0,162.0
161 St-Yankee Stadium ,Upper Manhattan/Bronx Transfer,Bronx,Bronx,16043,12646,10286,22932,5316351,54.0,32.0,49.0
New Lots Av ,New Lots,Other Brooklyn,Brooklyn,3495,1786,1465,3251,1066391,281.0,291.0,284.0
Van Siclen Av ,New Lots,Other Brooklyn,Brooklyn,1616,823,662,1485,491980,387.0,376.0,385.0
Pennsylvania Av ,New Lots,Other Brooklyn,Brooklyn,2818,1559,1229,2788,868432,317.0,311.0,316.0
Junius St ,New Lots,Other Brooklyn,Brooklyn,1567,900,732,1632,487780,392.0,366.0,387.0
Rockaway Av ,New Lots,Other Brooklyn,Brooklyn,2751,1424,1123,2547,838719,323.0,323.0,323.0
Saratoga Av ,New Lots,Other Brooklyn,Brooklyn,3122,1514,1182,2696,941203,295.0,315.0,304.0
Sutter Av-Rutland Rd ,New Lots,Other Brooklyn,Brooklyn,4178,2159,1698,3857,1272857,239.0,263.0,241.0
Crown Heights-Utica Av ,New Lots,Other Brooklyn,Brooklyn,16318,9448,7496,16944,5071387,52.0,59.0,52.0
Kingston Av ,New Lots,Other Brooklyn,Brooklyn,3233,1617,1896,3513,1017521,289.0,277.0,290.0
Nostrand Av ,New Lots,Other Brooklyn,Brooklyn,2512,1715,1375,3090,809205,340.0,298.0,331.0
Flatbush Av-Brooklyn College ,Nostrand Av,Other Brooklyn,Brooklyn,11967,5798,4489,10287,3601151,78.0,124.0,87.0
Newkirk Av ,Nostrand Av,Other Brooklyn,Brooklyn,4638,2542,2000,4542,1426266,216.0,240.0,221.0
Beverly Rd ,Nostrand Av,Other Brooklyn,Brooklyn,3044,1812,1443,3255,951520,304.0,290.0,302.0
Church Av ,Nostrand Av,Other Brooklyn,Brooklyn,6201,3860,2968,6828,1947722,166.0,177.0,170.0
Winthrop St ,Nostrand Av,Other Brooklyn,Brooklyn,5379,2701,2115,4816,1628419,187.0,230.0,199.0
Sterling St. ,Nostrand Av,Other Brooklyn,Brooklyn,3910,2365,1910,4275,1227426,254.0,247.0,249.0
President St ,Nostrand Av,Other Brooklyn,Brooklyn,2450,1222,951,2173,742431,343.0,336.0,344.0
Eastern Pkwy-Brooklyn Museum ,Eastern Pkwy,Other Brooklyn,Brooklyn,3198,3291,2602,5893,1125810,293.0,196.0,274.0
Grand Army Plaza ,Eastern Pkwy,Other Brooklyn,Brooklyn,5055,3759,2990,6749,1653318,198.0,179.0,195.0
Bergen St ,Eastern Pkwy,Other Brooklyn,Brooklyn,3009,2335,1859,4194,990992,308.0,249.0,294.0
Nevins St ,Eastern Pkwy,Brooklyn CBD,Brooklyn,6665,4578,3615,8193,2136592,159.0,154.0,157.0
